"state_name","year","quarter","total_transactions","total_amount"
"maharashtra",2018,1,"16387034","21711613257.725385024"
"uttar-pradesh",2018,1,"12537805","13939970923.22266595"
"karnataka",2018,1,"12016899","19217895314.01350856"
"west-bengal",2018,1,"11710225","10625978552.14022352"
"andhra-pradesh",2018,1,"9039585","11996276391.82330446"
"telangana",2018,1,"8522766","13308204118.54235034"
"madhya-pradesh",2018,1,"8025395","8681603403.44592027"
"rajasthan",2018,1,"7591690","8926293130.72678006"
"delhi",2018,1,"7122754","11211503806.919961604"
"tamil-nadu",2018,1,"6726622","11261557697.51667737"
"gujarat",2018,1,"5948775","7577982255.034048615"
"bihar",2018,1,"5824302","6045758172.01714076"
"odisha",2018,1,"5809821","4627632210.88748255"
"haryana",2018,1,"4480770","6793511514.660396986"
"jharkhand",2018,1,"2178921","2374186389.919386311"
"chhattisgarh",2018,1,"1891514","2149155557.236765385"
"punjab",2018,1,"1870433","2780758224.854395762"
"kerala",2018,1,"1771380","2402674753.100505483"
"uttarakhand",2018,1,"1246685","1508545358.5238863745"
"assam",2018,1,"1056881","1157804456.212468042"
"jammu-&-kashmir",2018,1,"941568","1005371239.256127023"
"himachal-pradesh",2018,1,"481918","628737806.372337833"
"chandigarh",2018,1,"381895","613435420.867623287"
"goa",2018,1,"160897","303856742.343083863"
"dadra-&-nagar-haveli-&-daman-&-diu",2018,1,"148549","175658384.1092168733"
"tripura",2018,1,"148157","137978914.5306226285"
"puducherry",2018,1,"104212","165825971.3698361374"
"manipur",2018,1,"84069","128046173.93020904866"
"meghalaya",2018,1,"49571","66250259.7899005136"
"arunachal-pradesh",2018,1,"45497","92387336.00940918208"
"sikkim",2018,1,"44078","64650938.94036841563"
"nagaland",2018,1,"42845","78005891.0861250998"
"mizoram",2018,1,"18561","45227219.97579083459"
"andaman-&-nicobar-islands",2018,1,"6658","14631761.221985791353"
"ladakh",2018,1,"6089","12532857.77111477716"
"lakshadweep",2018,1,"778","1928611.1808777403326"
"maharashtra",2018,2,"22285740","36357057241.12071837"
"west-bengal",2018,2,"18082446","18629183470.20390227"
"uttar-pradesh",2018,2,"17710943","25720201695.69999114"
