"brand","total_registered_users","avg_percentage_usage"
"Xiaomi","3478257168","0.26"
"Samsung","2686418494","0.19"
"Vivo","2501664398","0.17"
"Oppo","1681003528","0.12"
"Others","1158047694","0.09"
"Realme","879895264","0.06"
"Apple","391450598","0.03"
"Motorola","296143804","0.02"
"OnePlus","269414202","0.02"
"Huawei","233593124","0.02"
"Lenovo","172916330","0.02"
"Tecno","41476258","0.01"
"Micromax","22265718","0.02"
"Infinix","10285740","0.01"
"Asus","8590996","0.02"
"Gionee","6165544","0.02"
"Lava","3060218","0.02"
"HMD Global","673264","0.01"
"Lyf","2542","0.02"
"COOLPAD","20","0.02"
