"state_name","current_year","current_quarter","current_tx","previous_tx","growth","growth_percent"
"odisha",2018,3,"30052155","8158144","21894011","268.37"
"west-bengal",2018,3,"53705416","18082446","35622970","197.00"
"jammu-&-kashmir",2020,2,"2635006","921630","1713376","185.91"
"lakshadweep",2018,2,"2132","778","1354","174.04"
"jharkhand",2018,3,"8122621","3152080","4970541","157.69"
"ladakh",2018,2,"15010","6089","8921","146.51"
"manipur",2023,4,"2113200","865478","1247722","144.17"
"telangana",2019,1,"65290702","28921154","36369548","125.75"
"meghalaya",2022,3,"4359165","2044649","2314516","113.20"
"rajasthan",2019,1,"43956040","20959723","22996317","109.72"
"andhra-pradesh",2018,3,"25626061","12353918","13272143","107.43"
"goa",2020,4,"3801381","1915531","1885850","98.45"
"delhi",2018,3,"18547048","9373723","9173325","97.86"
"karnataka",2019,1,"86587609","44812071","41775538","93.22"
"andaman-&-nicobar-islands",2020,4,"224531","117483","107048","91.12"
"jammu-&-kashmir",2018,2,"1796326","941568","854758","90.78"
"jammu-&-kashmir",2020,1,"921630","489928","431702","88.12"
"ladakh",2023,2,"2943815","1567246","1376569","87.83"
"andaman-&-nicobar-islands",2020,3,"117483","62962","54521","86.59"
"andhra-pradesh",2019,1,"57264522","30759548","26504974","86.17"
"manipur",2020,1,"818801","449344","369457","82.22"
"manipur",2024,1,"3845564","2113200","1732364","81.98"
"arunachal-pradesh",2018,2,"82157","45497","36660","80.58"
"manipur",2018,2,"151721","84069","67652","80.47"
"telangana",2018,3,"19332703","10764670","8568033","79.59"
"ladakh",2024,2,"5327359","2987101","2340258","78.35"
"ladakh",2022,2,"1118073","630015","488058","77.47"
"tripura",2018,3,"377703","214559","163144","76.04"
"uttarakhand",2019,1,"5546001","3178761","2367240","74.47"
"madhya-pradesh",2019,1,"37301049","21397555","15903494","74.32"
"arunachal-pradesh",2023,1,"8042825","4632709","3410116","73.61"
"karnataka",2018,4,"44812071","25980261","18831810","72.49"
"lakshadweep",2023,1,"29520","17147","12373","72.16"
"goa",2021,4,"11088759","6467763","4620996","71.45"
"haryana",2019,1,"22135775","12950183","9185592","70.93"
"andaman-&-nicobar-islands",2018,2,"11340","6658","4682","70.32"
"gujarat",2019,1,"24991451","14733303","10258148","69.63"
"sikkim",2018,2,"74578","44078","30500","69.20"
"bihar",2019,1,"26356234","15732401","10623833","67.53"
"puducherry",2020,3,"1730902","1033383","697519","67.50"
"bihar",2018,3,"14367804","8632378","5735426","66.44"
"jammu-&-kashmir",2020,4,"5754444","3465898","2288546","66.03"
"andhra-pradesh",2023,1,"1145532464","690017077","455515387","66.02"
"himachal-pradesh",2019,1,"2168718","1307883","860835","65.82"
"ladakh",2018,3,"24864","15010","9854","65.65"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,1,"11803985","7189585","4614400","64.18"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,1,"661814","404082","257732","63.78"
"maharashtra",2019,1,"75079069","46090223","28988846","62.90"
"puducherry",2019,1,"501092","307964","193128","62.71"
"meghalaya",2018,3,"110290","67857","42433","62.53"
"madhya-pradesh",2018,3,"17126985","10561412","6565573","62.17"
"puducherry",2018,4,"307964","190271","117693","61.86"
"sikkim",2019,2,"388244","240287","147957","61.58"
"delhi",2019,1,"47007327","29187719","17819608","61.05"
"odisha",2019,1,"34031942","21142798","12889144","60.96"
"dadra-&-nagar-haveli-&-daman-&-diu",2020,4,"1817791","1138312","679479","59.69"
"arunachal-pradesh",2018,3,"131146","82157","48989","59.63"
"uttar-pradesh",2019,1,"57324504","36100767","21223737","58.79"
"assam",2018,4,"3734172","2351851","1382321","58.78"
"tamil-nadu",2020,4,"111179701","70277825","40901876","58.20"
"tamil-nadu",2018,3,"15774078","9992128","5781950","57.87"
"assam",2018,2,"1663873","1056881","606992","57.43"
"delhi",2018,4,"29187719","18547048","10640671","57.37"
"odisha",2019,4,"64995633","41422272","23573361","56.91"
"puducherry",2020,4,"2716003","1730902","985101","56.91"
"haryana",2018,4,"12950183","8262024","4688159","56.74"
"sikkim",2019,1,"240287","154533","85754","55.49"
"telangana",2020,3,"236372126","152055143","84316983","55.45"
"west-bengal",2018,2,"18082446","11710225","6372221","54.42"
"nagaland",2018,2,"65599","42845","22754","53.11"
"telangana",2022,3,"1628165401","1063382557","564782844","53.11"
"kerala",2020,4,"33288187","21758680","11529507","52.99"
"andaman-&-nicobar-islands",2020,2,"62962","41298","21664","52.46"
"maharashtra",2020,4,"407621004","268310924","139310080","51.92"
"karnataka",2018,3,"25980261","17116447","8863814","51.79"
"mizoram",2023,1,"1052595","693774","358821","51.72"
"goa",2018,4,"514755","339511","175244","51.62"
"lakshadweep",2019,1,"2481","1642","839","51.10"
"chandigarh",2021,3,"6649378","4417547","2231831","50.52"
"kerala",2019,1,"6469039","4310654","2158385","50.07"
